,序号,一级流程,二级流程,三级流程,处罚企业名称,处罚企业简称,处罚决定书文号（如适用）,事件描述,相关法规（如适用）,处罚措施（如适用）,处罚金额（万元）（如适用）,处罚机关（如适用）,处罚地域,处罚日期（如适用）,事件发生日期,事件类型,事件信息源,是否影响业务范围,事件内控类型（如适用）,损失事件类型,事件损失等级,事件损失等级得分,维护日期,维护人,备注
13,9,客户管理,商户管理,商户检查（包括服务商子商户）,新生支付有限公司,新生,琼银罚字〔2019〕1号,商户后续管理情况不规范,《非金融机构支付服务管理办法》、《银行卡收单业务管理办法》,警告，对公司处以罚款13万元,13,中国人民银行海口中心支行,海口,2019-04-16,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
14,9,交易管理,网络支付管理,交易监控,新生支付有限公司,新生,琼银罚字〔2019〕1号,网络支付接口监测不到位,《非金融机构支付服务管理办法》、《银行卡收单业务管理办法》,警告，对公司处以罚款13万元,13,中国人民银行海口中心支行,海口,2019-04-16,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
15,9,交易管理,银行卡收单管理,交易结算,新生支付有限公司,新生,琼银罚字〔2019〕1号,未按规定设置收单资金结算账户等行为,《非金融机构支付服务管理办法》、《银行卡收单业务管理办法》,警告，对公司处以罚款13万元,13,中国人民银行海口中心支行,海口,2019-04-16,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
16,10,运营支持,客户权益保护,客户隐私保护,得仕股份有限公司,得仕,上海银罚字〔2019〕8号,违反金融消费权益保护相关规定,不适用,处以罚款人民币3万元,3,中国人民银行上海分行,上海,2019-04-08,,,监管,否,执行层面,其他,重要(3),3.0,,,
17,11,交易管理,网络支付管理,交易结算,快钱支付清算信息有限公司,快钱,上海银罚字〔2019〕5号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款15万元,15,中国人民银行上海分行,上海,2019-04-02,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
18,12,交易管理,网络支付管理,交易结算,上海富友支付服务股份有限公司,富友,上海银罚字〔2019〕6号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款6万元,6,中国人民银行上海分行,上海,2019-04-02,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
19,13,交易管理,网络支付管理,交易结算,上海电银信息技术有限公司,电银,上海银罚字〔2019〕7号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款2万元,2,中国人民银行上海分行,上海,2019-04-02,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
20,14,交易管理,网络支付管理,交易结算,先锋支付有限公司,先锋,大银罚字〔2019〕第85号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,给予警告，罚款42万元,42,中国人民银行大连中心支行,大连,2019-03-13,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
21,15,交易管理,银行卡收单管理,交易结算,"中付支付科技有
限公司成都分公
司",中付,"成银罚字
〔2019〕10号",违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,给予警告，没收违法所得 161800.86 元，并处55 万元的罚款,55,中国人民银行成都分行,成都,2019-03-04,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
22,16,交易管理,银行卡收单管理,交易结算,"北京海科融通支
付服务股份有限
公司成都分公司",海科融通,"成银罚字
〔2019〕11号",违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,给予警告，没收违法所得 96238.31 元，并处55万元的罚款,55,中国人民银行成都分行,成都,2019-03-04,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
23,17,交易管理,银行卡收单管理,交易结算,"联动优势电子商
务有限公司四川
分公司",联动优势,"成银罚字
〔2019〕9号",违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,警告，没收违法所得 10952.73 元，并处50万元的罚款,50,中国人民银行成都分行,成都,2019-03-04,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
24,18,交易管理,网络支付管理,交易结算,付临门支付有限公司大连分公司,付临门,大银罚字〔2019〕第84号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,对单位处以15万元罚款,15,中国人民银行大连中心支行,大连,2019-02-28,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
25,19,交易管理,银行卡收单管理,交易结算,"北京海科融通支付服务股份
有限公司广西南宁分公司",海科融通,"南宁银罚
〔2019〕1号",违反非金融机构支付服务管理,《非金融机构支付服务管理办法》,警告和罚款 16万元,16,中国人民银行南宁中心支行,南宁,2019-02-22,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
26,19,交易管理,银行卡收单管理,交易结算,"北京海科融通支付服务股份
有限公司广西南宁分公司",海科融通,"南宁银罚
〔2019〕1号",银行卡收单业务相关法律制度规定,《银行卡收单业务管理办法》,警告和罚款 16万元,16,中国人民银行南宁中心支行,南宁,2019-02-22,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
27,20,交易管理,网络支付管理,交易结算,上海盛付通电子支付服务有限公司福建分公司,盛付通,福银罚字〔2019〕14号,违反支付结算管理规定,不适用,对公司处以人民币28万元罚款,28,中国人民银行福州中心支行,福州,2019-02-20,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
28,21,交易管理,网络支付管理,交易结算,上海盛付通电子支付服务有限公司,盛付通,上海银罚字〔2019〕3号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款37万元,37,中国人民银行上海分行,上海,2019-02-19,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
29,22,交易管理,网络支付管理,交易结算,东方电子支付有限公司,东方,上海银罚字〔2019〕4号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款14万元,14,中国人民银行上海分行,上海,2019-02-19,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
30,24,交易管理,银行卡收单管理,交易结算,付临门支付有限公司河北分公司,付临门,银石罚字〔2019〕1号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对公司处以罚款38万元,38,中国人民银行石家庄中心支行,石家庄,2019-01-31,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
31,25,交易管理,银行卡收单管理,交易结算,杉德支付网络服务发展有限公司河北分公司,杉德,银石罚字〔2019〕2号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对公司处以罚款34万元,34,中国人民银行石家庄中心支行,石家庄,2019-01-31,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
32,26,交易管理,银行卡收单管理,交易结算,上海汇付数据服务有限公司石家庄分公司,汇付,银石罚字〔2019〕3号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对公司处以罚款6万元,6,中国人民银行石家庄中心支行,石家庄,2019-01-31,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
33,27,交易管理,银行卡收单管理,交易结算,福建国通星驿网络科技有限公司河北分公司,国通星驿,银石罚字〔2019〕4号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对公司处以罚款8万元,8,中国人民银行石家庄中心支行,石家庄,2019-01-31,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
34,28,交易管理,银行卡收单管理,交易结算,易生支付有限公司石家庄分公司,易生,银石罚字〔2019〕5号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对公司处以罚款6万元,6,中国人民银行石家庄中心支行,石家庄,2019-01-31,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
35,29,交易管理,网络支付管理,交易结算,易票联支付有限公司,易票,广州银罚字〔2019〕3号,违反支付结算管理规定,不适用,"处罚款120,000元。",12,中国人民银行广州分行,广州,2019-01-22,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
36,30,交易管理,网络支付管理,交易结算,广州市汇聚支付电子科技有限公司,汇聚,广州银罚字〔2019〕4号,违反支付结算管理规定,不适用,"没收违法所得179,695.78元，并处罚款530,000元，合计罚没709,695.78元。",70.97,中国人民银行广州分行,广州,2019-01-22,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
37,31,交易管理,网络支付管理,交易结算,广州商物通网络科技有限公司,商物通,广州银罚字〔2019〕5号,违反支付结算管理规定,不适用,"处罚款90,000元。",9,中国人民银行广州分行,广州,2019-01-22,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
38,32,交易管理,网络支付管理,交易结算,广州合利宝支付科技有限公司,合利宝,广州银罚字〔2019〕7号,违反支付结算管理规定,不适用,"警告，没收违法所得286,099.83元，并处罚款530,000元，合计罚没816,099.83元。",81.61,中国人民银行广州分行,广州,2019-01-22,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
39,33,交易管理,网络支付管理,交易结算,广州银联网络支付有限公司,广州银联,广州银罚字〔2019〕8号,违反支付结算管理规定,不适用,"处罚款150,000元。",15,中国人民银行广州分行,广州,2019-01-22,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
40,34,交易管理,网络支付管理,交易结算,易联支付有限公司,易联,广州银罚字〔2019〕2号,违反支付结算管理规定,不适用,"警告，没收违法所得1,632,801元，并处罚款1,872,801元，合计罚没3,505,602元。",350.56,中国人民银行广州分行,广州,2019-01-21,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
41,35,交易管理,网络支付管理,交易结算,中付支付科技有限公司南京分公司,中付,"（南银）罚字〔2019〕第1号
",违反《非金融机构支付服务管理办法》相关规定,《非金融机构支付服务管理办法》,对单位罚款人民币25万元。,25,中国人民银行南京分行,南京,2019-01-16,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
42,36,交易管理,网络支付管理,交易结算,拉卡拉支付股份有限公司江苏分公司,拉卡拉,"（南银）罚字〔2019〕第2号
",违反《非金融机构支付服务管理办法》相关规定,《非金融机构支付服务管理办法》,对单位罚款人民币4万元。,4,中国人民银行南京分行,南京,2019-01-16,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
43,37,交易管理,网络支付管理,交易结算,深圳瑞银信信息技术有限公司南京分公司,瑞银信,"（南银）罚字〔2019〕第3号
",违反《非金融机构支付服务管理办法》相关规定,《非金融机构支付服务管理办法》,对单位罚款人民币22万元。,22,中国人民银行南京分行,南京,2019-01-16,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
44,38,交易管理,网络支付管理,交易结算,银盛支付服务股份有限公司杭州分公司,银盛,杭银处罚字〔2019〕1号,存在危害支付服务市场的违规行为,不适用,对未按规定建立有关制度办法或风险管理措施处3万元罚款，对存在危害支付服务市场的违规行为处3万元罚款，合计处6万元罚款,6,中国人民银行杭州中心支行,杭州,2019-01-16,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
45,38,运营支持,合规风险管理,重大风险预警,银盛支付服务股份有限公司杭州分公司,银盛,杭银处罚字〔2019〕1号,未按规定建立有关制度办法或风险管理措施,不适用,对未按规定建立有关制度办法或风险管理措施处3万元罚款，对存在危害支付服务市场的违规行为处3万元罚款，合计处6万元罚款,6,中国人民银行杭州中心支行,杭州,2019-01-16,,,监管,否,设计层面,执行、交割和流程管理事件,重要(3),3.0,,,
46,39,交易管理,网络支付管理,交易结算,"成都天府通金融
服务股份有限公
司",天府通,"成银罚字
〔2019〕5号",违反支付结算业务相关规定,不适用,对公司处以罚款人民币9万元。,9,中国人民银行成都分行,成都,2019-01-09,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
47,40,交易管理,网络支付管理,交易结算,"四川商通实业有
限公司",商通实业,"成银罚字
〔2019〕6号",违反支付结算业务相关规定,不适用,对公司处以罚款人民币6万元。,6,中国人民银行成都分行,成都,2019-01-09,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
48,41,交易管理,银行卡收单管理,交易结算,拉卡拉支付股份有限公司湖北分公司,拉卡拉,武银罚字〔2018〕第30号,违反银行卡收单业务管理规定。,《银行卡收单业务管理办法》,处5.2万元罚款,5.2,中国人民银行武汉分行,武汉,2018-12-24,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
49,42,交易管理,网络支付管理,交易结算,武汉合众易宝科技有限公司,合众易宝,武银罚字〔2018〕第31号,违反网络支付业务管理规定。,不适用,处4.2万元罚款,4.2,中国人民银行武汉分行,武汉,2018-12-24,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
50,43,交易管理,银行卡收单管理,交易结算,杉德支付网络服务发展有限公司湖北分公司 ,杉德,武银罚字〔2018〕第32号,违反银行卡收单业务管理规定。,《银行卡收单业务管理办法》,处11万元罚款,11,中国人民银行武汉分行,武汉,2018-12-24,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
51,44,交易管理,银行卡收单管理,交易结算,嘉联支付有限公司河北分公司,嘉联,银石罚字〔2018〕38号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对公司处以罚款3万元,3,中国人民银行石家庄中心支行,石家庄,2018-12-21,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
52,45,交易管理,银行卡收单管理,交易结算,乐刷科技有限公司石家庄分公司,乐刷,银石罚字〔2018〕39号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对公司处以罚款7万元,7,中国人民银行石家庄中心支行,石家庄,2018-12-21,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
53,46,客户管理,个人客户管理,信息、交易记录、操作记录留存,现代金融控股（成都）有限公司辽宁分公司,现代金融控股（成都）,沈银反洗钱罚决字〔2018〕2号,未按照规定保存客户身份资料和交易记录,不适用,对公司处以25万元罚款；对相关责任人处以1万元罚款。,25,中国人民银行沈阳分行,沈阳,2018-12-19,,,监管,否,执行层面,文件归档不符合监管或公司规定,重要(3),3.0,,,
54,47,客户管理,商户管理,账户开立与账户管理,新生支付有限公司,新生,琼银罚字〔2018〕3号,违规开立支付账户,不适用,对公司处以罚款6万元,6,中国人民银行海口中心支行,海口,2018-12-14,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
55,47,运营支持,财务流程管理,备付金管理,新生支付有限公司,新生,琼银罚字〔2018〕3号,未按照要求报送备付金专用存款账户相关资料,不适用,对公司处以罚款6万元,6,中国人民银行海口中心支行,海口,2018-12-14,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
56,48,交易管理,银行卡收单管理,交易结算,中汇电子支付有限公司武汉分公司,中汇,武银罚字〔2018〕第26号,违反银行卡收单业务管理规定。,《银行卡收单业务管理办法》,处13万元罚款,13,中国人民银行武汉分行,武汉,2018-12-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
57,49,交易管理,银行卡收单管理,交易结算,北京海科融通支付服务股份有限公司湖北分公司,海科融通,武银罚字〔2018〕第27号,违反银行卡收单业务管理规定。,《银行卡收单业务管理办法》,处15万元罚款,15,中国人民银行武汉分行,武汉,2018-12-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
58,50,交易管理,网络支付管理,交易结算,金运通网络支付股份有限公司,金运通,济银罚字〔2018〕第20号、济银罚字〔2018〕第21号,违反支付结算业务规定,不适用,警告，对公司处以罚款91万元；对1名相关责任人给予警告，并处5万元罚款。,91,中国人民银行济南分行,济南,2018-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
59,51,交易管理,银行卡收单管理,交易结算,重庆易极付科技有限公司,易极付,渝银罚〔2018〕29号,非金融机构支付服务管理规定。,《非金融机构支付服务管理办法》,对单位处以6万元罚款,6,中国人民银行重庆营业管理部,重庆,2018-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
60,51,交易管理,网络支付管理,交易结算,重庆易极付科技有限公司,易极付,渝银罚〔2018〕29号,非银行支付机构网络支付业务管理规定,《非银行支付机构网络支付业务管理办法》,对单位处以6万元罚款,6,中国人民银行重庆营业管理部,重庆,2018-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
61,51,交易管理,银行卡收单管理,交易结算,重庆易极付科技有限公司,易极付,渝银罚〔2018〕29号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对单位处以6万元罚款,6,中国人民银行重庆营业管理部,重庆,2018-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
62,52,交易管理,银行卡收单管理,交易结算,重庆市钱宝科技服务有限公司,钱宝,渝银罚〔2018〕30号,非金融机构支付服务管理规定。,《非金融机构支付服务管理办法》,对单位处以15万元罚款,15,中国人民银行重庆营业管理部,重庆,2018-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
63,52,交易管理,网络支付管理,交易结算,重庆市钱宝科技服务有限公司,钱宝,渝银罚〔2018〕30号,非银行支付机构网络支付业务管理规定,《非银行支付机构网络支付业务管理办法》,对单位处以15万元罚款,15,中国人民银行重庆营业管理部,重庆,2018-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
64,52,交易管理,银行卡收单管理,交易结算,重庆市钱宝科技服务有限公司,钱宝,渝银罚〔2018〕30号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对单位处以15万元罚款,15,中国人民银行重庆营业管理部,重庆,2018-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
65,53,交易管理,网络支付管理,交易结算,汇潮支付有限公司,汇潮,上海银罚字〔2018〕38号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,"给予警告,没收违法所得28.829174万元，并处以罚款53万元，合计罚没金额81.829174万元",81.83,中国人民银行上海分行,上海,2018-12-03,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
66,54,交易管理,网络支付管理,交易结算,上海乐易信息技术有限公司,乐易,上海银罚字〔2018〕35号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款18万元,18,中国人民银行上海分行,上海,2018-11-26,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
67,57,交易管理,网络支付管理,交易结算,平安付电子支付有限公司,平安付,上海银罚字〔2018〕32号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款3万元,3,中国人民银行上海分行,上海,2018-11-03,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
68,58,交易管理,网络支付管理,交易结算,上海银联电子支付服务有限公司,上海银联,上海银罚字〔2018〕23号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款24万元,24,中国人民银行上海分行,上海,2018-10-31,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
69,59,交易管理,网络支付管理,交易结算,开店宝支付服务有限公司（原上海点佰趣信息科技有限公司）,开店宝,上海银罚字〔2018〕24号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款18万元,18,中国人民银行上海分行,上海,2018-10-31,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
70,60,交易管理,网络支付管理,交易结算,上海电银信息技术有限公司,电银,上海银罚字〔2018〕25号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款6万元,6,中国人民银行上海分行,上海,2018-10-31,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
71,61,交易管理,网络支付管理,交易结算,安付宝商务有限公司,安付宝,上海银罚字〔2018〕19号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币12万元,12,中国人民银行上海分行,上海,2018-10-18,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
72,62,交易管理,网络支付管理,交易结算,通联商务服务有限公司,通联,上海银罚字〔2018〕20号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币15万元,15,中国人民银行上海分行,上海,2018-10-18,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
73,63,交易管理,网络支付管理,交易结算,上海盛付通电子支付服务有限公司,盛付通,上海银罚字〔2018〕21号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币6万元,6,中国人民银行上海分行,上海,2018-10-18,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
74,64,交易管理,网络支付管理,交易结算,通联支付网络服务股份有限公司,通联,上海银罚字〔2018〕22号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币33万元,33,中国人民银行上海分行,上海,2018-10-18,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
75,65,交易管理,银行卡收单管理,交易结算,通联支付网络服务股份有限公司四川分公司,联通,成银罚字〔2018〕15号,违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,处以罚款人民币 9 万元,9,中国人民银行成都分行,成都,2018-10-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
76,66,交易管理,网络支付管理,交易结算,山西万卡德商务有限公司 ,万卡德,并银罚字〔2018〕第8号,违反了《非金融机构支付服务管理办法》规定。,《非金融机构支付服务管理办法》,对公司处以罚款人民币3万元。,3,中国人民银行太原中心支行,太原,2018-09-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
